"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338,74567,74408,74401,74338
"asv2",12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795,12803,12802,12799,12795
"asv3",1647,1552,1552,1039,1109,1647,1649,1469,1655,1647,1560,1544,1649,1647,1647,1039,1649,1647,1552,1544,1112,1647,1647,1544,1647,1647,1647,1546,1552,1552,1649,1045,1647,1647,1649,1544,1647,1647,1647,1546,1552,1647,1560,1544,1649,1647,1647,1544
"asv4",97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
"asv5",82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96,82,93,96,96
"asv6",29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"asv7",21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25,21,21,25,25
"asv8",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"asv9",25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20,25,25,25,20
"asv10",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
