"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","87928","56081","55887","55873","54374","51407","41","4","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","87928","56081","55948","55904","54452","51196","45","5","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","87928","56081","55959","55921","54382","51123","53","5","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","87928","56081","55969","55923","53720","49403","61","6","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","87928","56081","55887","55873","54374","51407","41","4","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","87928","56081","55948","55904","54452","51196","45","5","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","87928","56081","55959","55921","54382","51123","53","5","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","87928","56081","55969","55923","53720","49403","61","6","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","87928","56081","55887","55873","54374","51407","41","4","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","87928","56081","55948","55904","54452","51196","45","5","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","87928","56081","55959","55921","54382","51123","53","5","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","87928","56081","55969","55923","53720","49403","61","6","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","87928","56081","55887","55873","54374","51407","41","4","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","87928","56081","55948","55904","54452","51196","45","5","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","87928","56081","55959","55921","54382","51123","53","5","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
