"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","135037","94183","92872","91862","81508","77002","299","301","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","135037","94183","93068","92019","81715","76962","321","300","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","135037","94183","93198","92153","81806","76705","368","310","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","135037","94183","93247","92200","81164","75202","421","316","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","135037","94183","92872","91862","81508","77002","300","300","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","135037","94183","93068","92019","81715","76962","321","300","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","135037","94183","93198","92153","81806","76705","369","309","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","135037","94183","93247","92200","81164","75202","422","315","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","135037","94183","92872","91862","81508","77002","300","300","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","135037","94183","93068","92019","81715","76962","318","303","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","135037","94183","93198","92153","81806","76705","371","307","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","135037","94183","93247","92200","81164","75202","423","314","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","135037","94183","92872","91862","81508","77002","298","302","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","135037","94183","93068","92019","81715","76962","320","301","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","135037","94183","93198","92153","81806","76705","370","308","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
"track16","135037","94183","93247","92200","81164","75202","421","316","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-10"
"track17","135037","94183","92872","91862","81508","77002","301","299","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-40"
"track18","135037","94183","93068","92019","81715","76962","321","300","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-30"
"track19","135037","94183","93198","92153","81806","76705","374","304","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-20"
"track20","135037","94183","93247","92200","81164","75202","421","316","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-10"
"track21","135037","94183","92872","91862","81508","77002","298","302","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-40"
"track22","135037","94183","93068","92019","81715","76962","321","300","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-30"
"track23","135037","94183","93198","92153","81806","76705","372","306","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-20"
"track24","135037","94183","93247","92200","81164","75202","423","314","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-10"
"track25","135037","94183","92872","91862","81508","77002","299","301","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-40"
"track26","135037","94183","93068","92019","81715","76962","318","303","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-30"
"track27","135037","94183","93198","92153","81806","76705","372","306","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-20"
"track28","135037","94183","93247","92200","81164","75202","422","315","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-10"
"track29","135037","94183","92872","91862","81508","77002","301","299","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-40"
"track30","135037","94183","93068","92019","81715","76962","320","301","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-30"
"track31","135037","94183","93198","92153","81806","76705","371","307","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-20"
"track32","135037","94183","93247","92200","81164","75202","422","315","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-10"
"track33","135037","94183","92872","91862","81508","77002","299","301","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-40"
"track34","135037","94183","93068","92019","81715","76962","319","302","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-30"
"track35","135037","94183","93198","92153","81806","76705","369","309","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-20"
"track36","135037","94183","93247","92200","81164","75202","422","315","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-10"
"track37","135037","94183","92872","91862","81508","77002","301","299","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-40"
"track38","135037","94183","93068","92019","81715","76962","320","301","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-30"
"track39","135037","94183","93198","92153","81806","76705","370","308","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-20"
"track40","135037","94183","93247","92200","81164","75202","421","316","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-10"
"track41","135037","94183","92872","91862","81508","77002","300","300","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-40"
"track42","135037","94183","93068","92019","81715","76962","319","302","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-30"
"track43","135037","94183","93198","92153","81806","76705","371","307","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-20"
"track44","135037","94183","93247","92200","81164","75202","424","313","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-10"
"track45","135037","94183","92872","91862","81508","77002","299","301","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-40"
"track46","135037","94183","93068","92019","81715","76962","321","300","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-30"
"track47","135037","94183","93198","92153","81806","76705","371","307","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-20"
"track48","135037","94183","93247","92200","81164","75202","422","315","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-10"
