"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25","track26","track27","track28","track29","track30","track31","track32","track33","track34","track35","track36","track37","track38","track39","track40","track41","track42","track43","track44","track45","track46","track47","track48"
"asv1",30115,30072,29902,29176,30115,30072,29902,29174,30115,30072,29902,29176,30115,30072,29902,29176,30115,30072,29902,29174,30115,30072,29902,29176,30115,30072,29902,29176,30115,30072,29900,29176,30115,30072,29902,29173,30115,30072,29902,29173,30115,30072,29902,29173,30115,30072,29900,29176
"asv2",25686,23521,25448,24846,25421,17779,25439,24839,23539,25608,25384,24892,25414,25543,25241,24881,23341,25542,23118,24619,25657,23498,23328,24891,25669,25396,23377,24844,23317,25464,25421,24710,25657,23278,25417,24853,25602,25578,23168,24875,25603,25537,25401,22844,25663,23493,25201,17299
"asv3",4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208,4333,4333,4324,4208
"asv4",5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450,5500,5500,5500,5450
"asv5",1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503,1525,1528,1527,1503
"asv6",1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476,1471,1471,1476,1476
"asv7",424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414,424,424,424,414
"asv8",449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449,449,448,455,449
"asv9",263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257,263,261,259,257
"asv10",244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244
