"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","Trunclen","nbases","MaxConsist","OmegaA"
"track1","126709","70130","67787","66189","49897","47141","58","378","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-40"
"track2","126709","70130","67880","66431","50080","47205","65","384","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-30"
"track3","126709","70130","67907","66458","49593","46406","71","393","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-20"
"track4","126709","70130","67917","66460","48898","45350","86","409","TruncLen_245-235","nbases_10000","MaxConsist_5","OmegaA_1e-10"
"track5","126709","70130","67787","66189","49897","47141","59","377","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-40"
"track6","126709","70130","67880","66431","50080","47205","65","384","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-30"
"track7","126709","70130","67907","66458","49593","46406","73","391","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-20"
"track8","126709","70130","67917","66460","48898","45350","88","407","TruncLen_245-235","nbases_10000","MaxConsist_10","OmegaA_1e-10"
"track9","126709","70130","67787","66189","49897","47141","57","379","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-40"
"track10","126709","70130","67880","66431","50080","47205","64","385","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-30"
"track11","126709","70130","67907","66458","49593","46406","76","388","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-20"
"track12","126709","70130","67917","66460","48898","45350","86","409","TruncLen_245-235","nbases_10000","MaxConsist_20","OmegaA_1e-10"
"track13","126709","70130","67787","66189","49897","47141","56","380","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-40"
"track14","126709","70130","67880","66431","50080","47205","64","385","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-30"
"track15","126709","70130","67907","66458","49593","46406","74","390","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-20"
"track16","126709","70130","67917","66460","48898","45350","87","408","TruncLen_245-235","nbases_1e+06","MaxConsist_5","OmegaA_1e-10"
"track17","126709","70130","67787","66189","49897","47141","55","381","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-40"
"track18","126709","70130","67880","66431","50080","47205","66","383","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-30"
"track19","126709","70130","67907","66458","49593","46406","74","390","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-20"
"track20","126709","70130","67917","66460","48898","45350","84","411","TruncLen_245-235","nbases_1e+06","MaxConsist_10","OmegaA_1e-10"
"track21","126709","70130","67787","66189","49897","47141","57","379","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-40"
"track22","126709","70130","67880","66431","50080","47205","65","384","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-30"
"track23","126709","70130","67907","66458","49593","46406","74","390","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-20"
"track24","126709","70130","67917","66460","48898","45350","87","408","TruncLen_245-235","nbases_1e+06","MaxConsist_20","OmegaA_1e-10"
"track25","126709","70130","67787","66189","49897","47141","55","381","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-40"
"track26","126709","70130","67880","66431","50080","47205","64","385","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-30"
"track27","126709","70130","67907","66458","49593","46406","72","392","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-20"
"track28","126709","70130","67917","66460","48898","45350","85","410","TruncLen_245-235","nbases_1e+08","MaxConsist_5","OmegaA_1e-10"
"track29","126709","70130","67787","66189","49897","47141","56","380","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-40"
"track30","126709","70130","67880","66431","50080","47205","67","382","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-30"
"track31","126709","70130","67907","66458","49593","46406","74","390","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-20"
"track32","126709","70130","67917","66460","48898","45350","86","409","TruncLen_245-235","nbases_1e+08","MaxConsist_10","OmegaA_1e-10"
"track33","126709","70130","67787","66189","49897","47141","58","378","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-40"
"track34","126709","70130","67880","66431","50080","47205","65","384","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-30"
"track35","126709","70130","67907","66458","49593","46406","75","389","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-20"
"track36","126709","70130","67917","66460","48898","45350","87","408","TruncLen_245-235","nbases_1e+08","MaxConsist_20","OmegaA_1e-10"
"track37","126709","70130","67787","66189","49897","47141","55","381","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-40"
"track38","126709","70130","67880","66431","50080","47205","65","384","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-30"
"track39","126709","70130","67907","66458","49593","46406","74","390","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-20"
"track40","126709","70130","67917","66460","48898","45350","87","408","TruncLen_245-235","nbases_1e+10","MaxConsist_5","OmegaA_1e-10"
"track41","126709","70130","67787","66189","49897","47141","58","378","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-40"
"track42","126709","70130","67880","66431","50080","47205","64","385","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-30"
"track43","126709","70130","67907","66458","49593","46406","75","389","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-20"
"track44","126709","70130","67917","66460","48898","45350","87","408","TruncLen_245-235","nbases_1e+10","MaxConsist_10","OmegaA_1e-10"
"track45","126709","70130","67787","66189","49897","47141","56","380","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-40"
"track46","126709","70130","67880","66431","50080","47205","66","383","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-30"
"track47","126709","70130","67907","66458","49593","46406","71","393","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-20"
"track48","126709","70130","67917","66460","48898","45350","87","408","TruncLen_245-235","nbases_1e+10","MaxConsist_20","OmegaA_1e-10"
