"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","87928","87857","85986","83203","71650","68371","17","28","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","87928","87857","85986","83203","71650","68371","17","28","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","87928","87857","85986","83203","71650","68371","17","28","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","87928","87857","85986","83203","71650","68371","17","28","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","87928","27110","26833","26851","1390","1390","0","24","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","87928","30585","30341","30436","29656","28306","14","30","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","87928","30585","30341","30436","29656","28306","14","30","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","87928","30585","30341","30436","29656","28306","14","30","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","87928","30585","30341","30436","29656","28306","14","30","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","87928","27110","26833","26851","1390","1390","0","24","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","87928","51018","50745","50805","48396","46073","15","30","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","87928","51018","50745","50805","48396","46073","15","30","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","87928","51018","50745","50805","48396","46073","15","30","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","87928","51018","50745","50805","48396","46073","15","30","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","87928","27110","26833","26851","1390","1390","0","24","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","87928","74173","73702","73768","68212","65142","17","30","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","87928","74173","73702","73768","68212","65142","17","30","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","87928","74173","73702","73768","68212","65142","17","30","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","87928","74173","73702","73768","68212","65142","17","30","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","87928","27110","26833","26851","1390","1390","0","24","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","87928","84835","83389","82214","72920","69647","17","28","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","87928","84835","83389","82214","72920","69647","17","28","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","87928","84835","83389","82214","72920","69647","17","28","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","87928","84835","83389","82214","72920","69647","17","28","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","87928","27110","26833","26851","1390","1390","0","24","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
