"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",52838,52838,52838,52838,0,20306,20306,20306,20306,0,34373,34373,34373,34373,0,49817,49817,49817,49817,0,53994,53994,53994,53994,0
"asv2",7387,7387,7387,7387,19,3098,3098,3098,3098,19,5246,5246,5246,5246,19,7174,7174,7174,7174,19,7369,7369,7369,7369,19
"asv3",5619,5619,5619,5619,0,3083,3083,3083,3083,0,4258,4258,4258,4258,0,5510,5510,5510,5510,0,5602,5602,5602,5602,0
"asv4",1861,1861,1881,1861,1354,1563,1545,1563,1545,1354,1725,1745,1725,1725,1371,2006,2006,2006,2006,1354,2019,2019,2019,2019,1354
"asv5",496,496,496,496,0,199,199,199,199,0,352,352,352,352,0,473,473,473,473,0,493,493,493,493,0
"asv6",126,126,126,126,0,54,54,54,54,0,87,87,87,87,0,117,117,117,117,0,125,125,125,125,0
"asv7",20,20,0,20,17,0,18,0,18,17,20,0,20,20,0,20,20,20,20,17,20,20,20,20,17
"asv8",11,11,11,11,0,0,0,0,0,0,7,7,7,7,0,11,11,11,11,0,11,11,11,11,0
"asv9",5,5,5,5,0,3,3,3,3,0,5,5,5,5,0,5,5,5,5,0,5,5,5,5,0
"asv10",5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,5,5,5,5,0
"asv11",3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,4,4,4,0
