"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",28803,28803,28803,28803,0,22435,22435,22435,22435,0,29017,29017,29017,29017,0,30584,30584,30584,30584,0,28846,28846,28846,28846,0
"asv2",25555,25568,25504,25574,26979,20144,20133,20140,20152,27033,16152,23009,23071,17490,25301,18864,24941,24855,24936,20130,17959,23715,25204,24055,27033
"asv3",4376,4376,4376,4381,0,3059,3059,3059,3059,0,3964,3964,3964,3964,0,4421,4421,4421,4421,0,4366,4366,4366,4366,0
"asv4",5547,5547,5547,5547,0,4090,4090,4090,4090,0,5234,5234,5234,5234,0,5563,5563,5563,5563,0,5518,5518,5518,5518,0
"asv5",1714,1714,1714,1714,0,1071,1071,1071,1071,0,1461,1461,1461,1461,0,1677,1677,1677,1677,0,1711,1711,1711,1711,0
"asv6",1754,1754,1754,1754,0,904,904,904,904,0,1384,1384,1384,1384,0,1715,1715,1715,1715,0,1752,1752,1752,1752,0
"asv7",432,432,432,432,0,255,255,255,255,0,387,387,387,387,0,439,439,439,439,0,338,338,338,338,0
"asv8",471,471,471,471,0,320,320,320,320,0,421,421,421,421,0,470,470,470,470,0,471,471,471,471,0
"asv9",286,286,286,286,0,171,171,171,171,0,231,231,231,231,0,277,277,277,277,0,282,282,282,282,0
"asv10",247,247,247,247,0,157,157,157,157,0,227,227,227,227,0,245,245,245,245,0,246,246,246,246,0
"asv11",526,526,526,526,0,314,314,314,314,0,456,456,456,456,0,520,520,520,520,0,525,525,525,525,0
"asv12",306,306,306,306,0,163,163,163,163,0,266,266,266,266,0,302,302,302,302,0,305,305,305,305,0
"asv13",182,182,182,182,88,120,120,120,120,88,155,155,155,155,88,176,176,176,176,88,182,182,182,182,88
"asv14",176,176,176,176,97,131,131,131,131,97,159,159,159,159,97,172,172,172,172,97,176,176,176,176,97
"asv15",152,152,152,152,0,105,105,105,105,0,126,126,126,126,0,148,148,148,148,0,152,152,152,152,0
"asv16",142,142,142,142,0,80,80,80,80,0,111,111,111,111,0,138,138,138,138,0,142,142,142,142,0
"asv17",141,141,141,141,0,79,79,79,79,0,119,119,119,119,0,138,138,138,138,0,138,138,138,138,0
"asv18",160,160,160,160,0,103,103,103,103,0,133,133,133,133,0,158,158,158,158,0,160,160,160,160,0
"asv19",125,125,125,125,0,74,74,74,74,0,105,105,105,105,0,121,121,121,121,0,125,125,125,125,0
"asv20",182,182,182,182,0,98,98,98,98,0,148,148,148,148,0,178,178,178,178,0,181,181,181,181,0
"asv21",133,133,133,133,0,99,99,99,99,0,131,131,131,131,0,155,155,155,155,0,157,157,157,157,0
"asv22",96,96,96,96,0,67,67,67,67,0,86,86,86,86,0,95,95,95,95,0,95,95,95,95,0
"asv23",126,126,126,126,0,80,80,80,80,0,99,99,99,99,0,121,121,121,121,0,126,126,126,126,0
"asv24",80,80,80,80,0,56,56,56,56,0,75,75,75,75,0,80,80,80,80,0,80,80,80,80,0
"asv25",197,197,197,197,79,133,133,133,133,79,170,170,170,170,79,196,196,196,196,79,196,196,196,196,79
"asv26",66,66,66,66,0,49,49,49,49,0,71,71,71,71,0,73,73,73,73,0,66,66,66,66,0
"asv27",144,144,144,144,15,87,87,87,87,15,125,125,125,125,15,144,144,144,144,15,144,144,144,144,15
"asv28",61,61,61,61,0,32,32,32,32,0,51,51,51,51,0,60,60,60,60,0,61,61,61,61,0
"asv29",61,61,61,61,0,41,41,41,41,0,53,53,53,53,0,61,61,61,61,0,61,61,61,61,0
"asv30",78,78,78,78,0,49,49,49,49,0,70,70,70,70,0,77,77,77,77,0,78,78,78,78,0
"asv31",76,76,76,76,0,49,49,49,49,0,64,64,64,64,0,72,72,72,72,0,76,76,76,76,0
"asv32",52,52,52,52,0,25,25,25,25,0,38,38,38,38,0,50,50,50,50,0,52,52,52,52,0
"asv33",51,51,51,51,0,33,33,33,33,0,40,40,40,40,0,49,49,49,49,0,51,51,51,51,0
"asv34",74,74,74,74,0,0,0,0,0,0,58,58,58,58,0,72,72,72,72,0,73,73,73,73,0
"asv35",86,86,86,86,0,63,63,63,63,0,75,75,75,75,0,85,85,85,85,0,86,86,86,86,0
"asv36",121,121,121,121,0,89,89,89,89,0,110,110,110,110,0,119,119,119,119,0,120,120,120,120,0
"asv37",90,90,90,90,0,57,57,57,57,0,76,76,76,76,0,88,88,88,88,0,90,90,90,90,0
"asv38",39,39,39,39,0,34,34,34,34,0,41,41,41,41,0,49,49,49,49,0,39,39,39,39,0
"asv39",59,59,59,59,0,37,37,37,37,0,49,49,49,49,0,58,58,58,58,0,59,59,59,59,0
"asv40",60,60,60,60,0,46,46,46,46,0,54,54,54,54,0,59,59,59,59,0,60,60,60,60,0
"asv41",64,50,50,47,0,39,32,33,33,0,46,40,67,40,0,63,62,58,65,0,27,60,60,41,0
"asv42",60,60,60,60,0,47,47,47,47,0,56,56,56,56,0,60,60,60,60,0,60,60,60,60,0
"asv43",33,33,33,33,22,24,24,24,24,22,29,29,29,29,22,33,33,33,33,22,33,33,33,33,22
"asv44",52,52,52,52,0,21,21,21,21,0,26,26,26,26,0,50,50,50,50,0,52,52,52,52,0
"asv45",38,29,0,6,26,0,0,23,0,0,5598,0,15,5598,0,6008,0,10,32,5007,6121,1331,0,1331,0
"asv46",54,23,54,54,0,17,17,17,17,0,18,18,18,18,0,23,54,23,23,0,23,23,23,23,0
"asv47",30,30,30,30,0,26,26,26,26,0,34,34,34,34,0,29,29,29,29,0,30,30,30,30,0
"asv48",30,30,30,30,0,0,0,0,0,0,28,28,28,28,0,30,30,30,30,0,30,30,30,30,0
"asv49",30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,0,30,30,30,30,0
"asv50",30,30,30,30,0,21,21,21,21,0,28,28,28,28,0,29,29,29,29,0,30,30,30,30,0
"asv51",28,28,28,28,0,26,26,26,26,0,27,27,27,27,0,28,28,28,28,0,28,28,28,28,0
"asv52",26,26,26,26,0,20,20,20,20,0,25,25,25,25,0,25,25,25,25,0,26,26,26,26,0
"asv53",26,26,26,26,0,15,15,15,15,0,21,21,21,21,0,26,26,26,26,0,26,26,26,26,0
