"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv1",NA,NA,NA,NA,NA,NA
"asv2","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"asv3","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"asv4","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"asv5","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Distigma"
"asv6","Eukaryota","Euglenozoa",NA,NA,NA,NA
"asv7","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"asv8","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"asv9","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Neisseria"
"asv10","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus"
"asv11","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"asv12","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"asv13","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia"
"asv14","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"asv15","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"asv16","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"asv17","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus"
"asv18","Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"asv19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"asv20","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"asv21","Eukaryota","Euglenozoa","Euglenida",NA,NA,NA
"asv22","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"asv23","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"asv24","Bacteria","Proteobacteria",NA,NA,NA,NA
"asv25","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus"
"asv26","Eukaryota","Retaria",NA,NA,NA,NA
"asv27","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa",NA
"asv28","Bacteria","Bacteroidetes",NA,NA,NA,NA
"asv29","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"asv30","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA
"asv31","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
