"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","107145","107013","99736","92735","48499","46992","41","391","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","107145","107013","99736","92735","48499","46992","42","390","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","107145","107013","99736","92735","48499","46992","42","390","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","107145","107013","99736","92735","48499","46992","42","390","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","107145","62480","60660","58928","41664","40989","2","181","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","107145","57416","56540","55865","36792","35749","33","363","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","107145","57416","56540","55865","36792","35749","32","364","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","107145","57416","56540","55865","36792","35749","34","362","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","107145","57416","56540","55865","36792","35749","34","362","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","107145","62480","60660","58928","41664","40989","3","180","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","107145","77487","76282","73782","43626","42232","37","381","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","107145","77487","76282","73782","43626","42232","37","381","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","107145","77487","76282","73782","43626","42232","40","378","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","107145","77487","76282","73782","43626","42232","39","379","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","107145","62480","60660","58928","41664","40989","2","181","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","107145","96268","93576","89790","48870","47463","38","383","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","107145","96268","93576","89790","48870","47463","41","380","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","107145","96268","93576","89790","48870","47463","38","383","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","107145","96268","93576","89790","48870","47463","38","383","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","107145","62480","60660","58928","41664","40989","2","181","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","107145","105148","98360","92317","48290","46906","41","389","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","107145","105148","98360","92317","48290","46906","43","387","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","107145","105148","98360","92317","48290","46906","42","388","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","107145","105148","98360","92317","48290","46906","42","388","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","107145","62480","60660","58928","41664","40989","2","181","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
