"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",43068,40994,43035,43101,28905,33448,33454,22637,31647,28898,36719,39006,36984,39061,40807,43788,28166,43779,43041,40859,40799,40779,42478,42158,40859
"asv2",908,907,907,907,0,637,637,637,637,0,840,839,840,840,0,883,883,883,883,0,905,905,905,905,0
"asv3",560,560,560,560,0,270,270,270,270,0,410,410,410,410,0,505,505,505,505,0,560,560,560,560,0
"asv4",443,443,443,443,0,284,284,284,284,0,358,358,358,358,0,400,400,400,400,0,443,443,443,443,0
"asv5",455,455,455,455,0,284,284,284,284,0,384,384,384,384,0,448,448,448,448,0,455,455,455,455,0
"asv6",192,192,192,192,0,136,136,136,136,0,165,165,165,165,0,185,185,185,185,0,192,192,192,192,0
"asv7",258,258,258,258,0,183,183,183,183,0,270,270,270,270,0,328,328,328,328,0,258,258,258,258,0
"asv8",251,251,251,251,0,152,152,152,152,0,214,214,214,214,0,239,239,239,239,0,251,251,251,251,0
"asv9",148,148,148,148,0,0,0,0,0,0,25,25,25,25,0,129,129,129,129,0,147,147,147,147,0
"asv10",123,123,123,123,0,83,83,83,83,0,103,103,103,103,0,117,117,117,117,0,123,123,123,123,0
"asv11",107,168,61,69,26,36,88,52,0,108,138,54,54,84,91,163,61,0,163,65,173,0,61,168,82
"asv12",88,75,75,88,0,17,17,17,17,0,29,29,29,29,0,47,47,47,47,0,74,74,74,87,0
"asv13",61,0,0,107,0,0,0,0,3,0,0,0,0,54,0,0,0,102,0,0,0,0,0,0,26
"asv14",54,54,54,54,0,27,27,27,27,0,41,41,41,41,0,46,46,46,46,0,54,54,54,54,0
"asv15",44,44,44,44,0,19,19,19,19,0,36,36,36,36,0,38,38,38,38,0,44,44,44,44,0
"asv16",59,18,91,21,17,27,30,18,112,4,223,93,17,26,73,5,34,75,744,47,85,145,563,887,4
"asv17",29,29,29,29,0,11,11,11,11,0,19,19,19,19,0,22,22,22,22,0,29,29,29,29,0
"asv18",18,18,18,18,0,5,5,5,5,0,13,13,13,13,0,16,16,16,16,0,18,18,18,18,0
"asv19",15,15,15,15,0,0,0,0,0,0,4,4,4,4,0,10,10,10,10,0,15,15,15,15,0
"asv20",14,14,14,14,0,0,0,0,0,0,5,5,5,5,0,13,13,13,13,0,14,14,14,14,0
"asv21",41,2156,39,46,10,36,32,36,36,10,40,35,45,40,10,46,2387,46,46,18,2207,2216,55,46,18
"asv22",13,13,13,13,0,6,6,6,6,0,9,9,9,9,0,9,9,9,9,0,12,12,12,12,0
"asv23",8,8,0,0,0,0,0,6,6,0,7,7,12,0,0,0,8,0,0,0,0,8,0,0,0
"asv24",8,8,8,8,0,5,5,5,5,0,5,5,5,5,0,6,6,6,6,0,8,8,8,8,0
"asv25",7,7,7,7,0,6,6,6,6,0,6,6,6,6,0,7,7,7,7,0,7,7,7,7,0
"asv26",6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0
"asv27",5,5,5,5,0,4,4,4,4,0,5,5,5,5,0,5,5,5,5,0,5,5,5,5,0
"asv28",5,5,5,5,0,3,3,3,3,0,3,3,3,3,0,5,5,5,5,0,5,5,5,5,0
"asv29",4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"asv30",0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,0,0
"asv31",0,4,4,4,0,3,3,3,3,0,3,3,3,3,0,3,3,0,3,0,4,4,4,4,0
"asv32",0,0,107,0,65,52,0,0,52,0,0,84,0,0,0,0,102,0,0,0,0,107,107,0,0
"asv33",0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"asv34",0,0,0,0,11966,9,4,10859,9,11966,0,6,15,20,8,0,13244,0,0,0,0,9,0,0,0
"asv35",0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv36",0,0,0,0,0,0,0,0,1743,0,2158,0,2158,0,0,0,0,0,0,0,0,0,0,0,0
"asv37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
