"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","119995","119730","109773","104358","51733","49729","131","256","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","119995","119730","109773","104358","51733","49729","132","255","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","119995","119730","109773","104358","51733","49729","132","255","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","119995","119730","109773","104358","51733","49729","130","257","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","119995","49192","46767","45643","29322","28520","2","152","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","119995","46490","44222","44413","29717","28724","93","228","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","119995","46490","44222","44413","29717","28724","93","228","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","119995","46490","44222","44413","29717","28724","93","228","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","119995","46490","44222","44413","29717","28724","93","228","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","119995","49191","46766","45642","29321","28519","2","152","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","119995","73784","70437","69586","40955","39713","113","235","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","119995","73784","70437","69586","40955","39713","112","236","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","119995","73784","70437","69586","40955","39713","112","236","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","119995","73784","70437","69586","40955","39713","112","236","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","119995","49192","46767","45643","29322","28520","0","153","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","119995","104136","99037","96153","49675","48121","125","251","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","119995","104136","99037","96153","49675","48121","124","252","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","119995","104136","99037","96153","49675","48121","126","250","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","119995","104136","99037","96153","49675","48121","125","251","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","119995","49192","46767","45643","29322","28520","0","153","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","119995","116756","107748","103607","51139","49113","133","256","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","119995","116756","107748","103607","51139","49113","131","258","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","119995","116756","107748","103607","51139","49113","131","258","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","119995","116756","107748","103607","51139","49113","131","258","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","119995","49192","46767","45643","29322","28520","2","152","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
