"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","140542","140072","133156","130259","74336","62511","85","187","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","140542","140072","133156","130259","74336","62511","84","188","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","140542","140072","133156","130259","74336","62511","85","187","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","140542","140072","133156","130259","74336","62511","85","187","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","140542","62010","60738","60179","19450","19146","3","114","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","140542","56661","55534","55715","43444","37463","76","183","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","140542","56661","55534","55715","43444","37463","73","186","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","140542","56661","55534","55715","43444","37463","76","183","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","140542","56661","55534","55715","43444","37463","74","185","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","140542","62010","60738","60179","19450","19146","2","115","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","140542","88914","87315","87147","65060","55598","81","183","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","140542","88914","87315","87147","65060","55598","81","183","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","140542","88914","87315","87147","65060","55598","80","184","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","140542","88914","87315","87147","65060","55598","81","183","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","140542","62010","60738","60179","19450","19146","3","114","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","140542","121835","119243","118154","77259","65294","84","177","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","140542","121835","119243","118154","77259","65294","83","178","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","140542","121835","119243","118154","77259","65294","83","178","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","140542","121835","119243","118154","77259","65294","82","179","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","140542","62010","60738","60179","19450","19146","2","115","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","140542","136393","130201","130251","76146","64221","83","190","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","140542","136393","130201","130251","76146","64221","83","190","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","140542","136393","130201","130251","76146","64221","85","188","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","140542","136393","130201","130251","76146","64221","84","189","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","140542","62010","60738","60179","19450","19146","2","115","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
