"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","121617","93835","93565","93430","92767","85231","17","58","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","121617","98783","98530","98406","1881","1868","12","33","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","121617","100010","99755","99659","1928","1915","10","37","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","121617","100970","100707","100547","1920","1920","11","37","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","121617","101954","101690","101533","1922","1922","10","38","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","121617","96937","96702","96589","94244","86373","26","29","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","121617","98497","98259","98129","1920","1904","14","33","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","121617","99694","99452","99350","1931","1918","11","38","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","121617","100632","100393","100192","1939","1926","12","36","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","121617","101587","101345","101170","1925","1925","10","39","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","121617","94757","94549","94321","93553","86103","21","25","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","121617","96568","96330","96220","93888","86037","24","27","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","121617","98090","97850","97723","97250","89338","24","36","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","121617","99250","99009","98907","1912","1896","13","37","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","121617","100161","99918","99722","1874","1861","11","37","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","121617","92705","92501","92364","91860","84328","20","22","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","121617","94067","93866","93674","92908","85505","20","24","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","121617","95849","95636","95521","93212","85415","23","27","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","121617","97342","97127","96995","96532","88675","24","32","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","121617","98458","98243","98158","97705","89775","26","37","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","121617","99333","99112","98935","1520","1504","11","33","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
