"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","140892","100502","99471","99029","77305","63139","118","84","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","140892","107566","106752","106523","10338","9947","60","79","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","140892","109303","108472","108225","10385","9988","55","87","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","140892","110701","109851","109645","10329","9987","56","87","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","140892","112034","111182","110981","10116","9788","48","90","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","140892","104797","103954","103635","83724","69791","155","63","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","140892","107155","106323","106120","19263","17686","103","82","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","140892","108852","108017","107782","10549","10143","61","89","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","140892","110217","109379","109168","10518","10110","57","88","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","140892","111507","110662","110460","10427","10085","60","90","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","140892","101766","100935","100230","76770","61741","132","36","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","140892","104194","103368","103043","83358","69428","150","62","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","140892","106474","105662","105447","101044","84181","157","79","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","140892","108126","107317","107068","19182","17696","104","92","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","140892","109443","108615","108404","10426","10007","59","88","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","140892","39798","38928","38456","32216","26708","126","30","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","140892","40742","39970","39567","33120","27255","127","32","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","140892","41635","40916","40559","35329","29006","143","56","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","140892","42500","41784","41618","37903","31084","148","75","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","140892","43168","42489","42207","38836","31865","158","82","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","140892","43742","43013","42650","18604","16954","105","82","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
