"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",18254,4,4,4,4,22657,4,4,4,4,19345,22565,27575,4,4,603,639,660,709,744,4
"asv2",11566,0,0,0,0,13099,0,0,0,0,10783,13068,18518,0,0,333,358,394,431,453,0
"asv3",2598,0,0,0,0,2907,0,0,0,0,2416,2898,4154,0,0,72,75,81,90,94,0
"asv4",7380,0,0,0,0,7199,0,0,0,0,7046,7168,7318,0,0,6887,7070,7297,7419,7796,0
"asv5",3177,3444,3488,3589,3614,3288,3421,3478,3515,3596,3230,3279,3337,3450,3501,3022,2966,3206,3332,3294,3390
"asv6",5188,5319,5415,5476,5519,4025,5406,5485,5510,3882,3316,4132,5157,5040,5278,2393,2741,3563,4047,3867,4219
"asv7",3581,10,10,10,11,4030,4646,10,10,12,3979,4028,4479,4601,7,3901,3867,3873,4476,4518,5151
"asv8",1432,0,0,0,0,1576,0,0,0,0,1319,1574,2221,0,0,39,41,48,49,52,0
"asv9",1115,0,0,0,0,1154,0,0,0,0,1145,1150,1140,0,0,1088,1164,1155,1137,1153,0
"asv10",1001,5,5,5,0,978,1544,5,5,5,961,974,1466,1554,5,937,956,969,1462,1477,1546
"asv11",3419,3,3,3,3,3618,3,3,3,3,3511,3611,3673,3,3,3482,3496,3594,3669,3738,2
"asv12",789,0,0,0,0,824,847,0,0,0,811,823,846,857,0,790,806,818,841,852,866
"asv13",483,0,0,0,0,499,0,0,0,0,491,497,501,0,0,484,493,494,499,506,0
"asv14",605,0,0,0,0,630,0,0,0,0,615,626,632,0,0,215,216,219,221,222,0
"asv15",608,0,0,0,0,631,0,0,0,0,616,630,637,0,0,613,622,636,643,653,0
"asv16",228,0,0,0,0,279,295,0,0,0,254,279,295,314,0,235,256,281,296,314,280
"asv17",143,177,182,17,0,167,177,182,187,17,159,166,176,181,186,158,159,166,176,181,186
"asv18",130,148,152,155,155,148,148,152,155,155,133,148,148,152,155,128,131,146,146,149,152
"asv19",250,0,0,0,0,266,266,0,0,0,260,264,264,248,0,245,255,259,245,247,253
"asv20",116,130,133,135,0,124,130,133,135,136,119,124,124,131,133,117,119,124,124,126,133
"asv21",111,125,128,129,134,121,123,125,126,131,119,121,123,125,126,0,0,0,0,0,0
"asv22",88,92,93,95,95,92,92,93,95,95,89,90,90,91,93,90,90,90,89,90,91
"asv23",102,109,109,111,116,110,109,109,111,112,107,110,110,110,112,104,109,113,113,113,114
"asv24",133,0,0,0,0,138,0,0,0,0,137,138,140,0,0,0,0,0,0,0,0
"asv25",77,70,72,72,0,67,69,71,71,72,89,92,94,91,91,92,97,100,102,105,105
"asv26",90,0,0,0,0,91,0,0,0,0,90,90,90,0,0,90,90,90,90,90,0
"asv27",64,0,0,0,0,67,0,0,0,0,65,67,67,0,0,63,64,66,66,68,0
"asv28",50,0,0,0,0,54,0,0,0,0,49,54,57,0,0,53,54,62,63,64,0
"asv29",47,0,0,0,0,51,0,0,0,0,50,51,52,0,0,49,50,51,52,53,0
