"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","135037","102192","100842","99892","73889","69730","157","275","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","135037","96929","95577","94530","32731","31681","153","303","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","135037","97918","96560","95611","34312","33096","142","323","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","135037","98841","97469","96586","34473","33243","141","320","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","135037","99644","98243","97366","32622","31417","94","323","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","135037","95043","93709","92172","75688","71398","291","232","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","135037","96361","94984","93966","34156","33064","198","306","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","135037","97315","95926","95030","34495","33266","153","320","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","135037","98210","96816","95980","34282","33063","143","314","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","135037","98986","97559","96740","34394","33157","143","313","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","135037","91466","90168","88438","64759","61074","262","179","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","135037","92914","91626","90135","73808","69562","282","231","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","135037","94183","92872","91862","81508","77002","299","301","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","135037","95093","93773","92866","34299","33103","192","324","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","135037","95932","94600","93751","32889","31694","147","312","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","135037","83553","82289","80699","61222","57851","235","152","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","135037","85121","83877","82394","62342","58843","239","166","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","135037","86448","85207","84022","70935","66907","256","211","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","135037","87616","86357","85355","75769","72003","275","278","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","135037","88456","87185","86398","79100","75062","279","300","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","135037","89222","87932","87169","29715","28482","184","296","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
