"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21"
"asv1",29017,0,0,0,0,29973,0,0,0,0,27254,29823,30115,0,0,26566,27106,29654,30447,31878,0
"asv2",23096,24448,28173,28745,28881,20903,27299,26124,26449,28721,14307,17528,25661,25235,26784,13184,13238,17767,19433,22876,22947
"asv3",3964,0,0,0,0,4283,0,3,0,3,4027,4269,4333,5,0,3980,4016,4256,4319,4361,5
"asv4",5234,0,0,0,0,5269,0,0,0,0,5071,5256,5500,0,0,5042,5186,5410,5488,5538,0
"asv5",1461,0,0,0,0,1507,0,0,0,0,1510,1500,1525,0,0,1487,1506,1497,1523,1537,0
"asv6",387,424,427,431,0,417,424,427,431,433,407,417,424,427,429,383,399,409,415,418,420
"asv7",1384,3,3,3,3,1494,3,3,3,3,1446,1472,1471,3,3,1113,1120,1144,1141,1139,3
"asv8",421,3,3,3,0,448,3,3,3,3,436,446,449,3,3,430,436,446,449,456,3
"asv9",231,269,274,273,0,259,268,273,272,278,249,258,263,271,271,245,249,258,263,267,271
"asv10",227,0,0,0,0,243,0,0,0,0,238,243,244,0,0,234,237,242,243,243,0
"asv11",456,0,0,0,0,493,0,0,0,0,481,492,503,0,0,465,471,481,492,511,0
"asv12",155,165,167,167,167,162,164,166,166,166,162,162,164,166,166,165,161,161,163,165,165
"asv13",159,174,177,177,177,173,174,177,177,177,176,175,173,176,176,175,174,171,171,174,174
"asv14",266,293,0,0,0,285,292,302,0,0,285,300,307,317,321,49,68,70,70,72,72
"asv15",126,135,136,138,138,131,134,135,137,137,128,130,133,134,136,131,127,129,132,133,135
"asv16",119,130,131,132,138,129,130,131,132,136,127,129,130,131,132,121,125,127,128,129,130
"asv17",133,0,0,0,0,144,0,0,0,0,141,143,144,0,0,0,0,0,0,0,0
"asv18",111,144,151,146,0,142,143,144,145,146,119,142,143,149,144,134,119,141,142,142,143
"asv19",131,0,0,0,0,139,0,0,0,0,139,139,141,0,0,0,0,0,0,0,0
"asv20",105,118,123,125,0,114,118,123,125,127,108,114,118,123,125,107,108,114,118,123,125
"asv21",99,0,0,0,0,114,0,0,0,0,113,114,113,0,0,112,113,114,113,114,0
"asv22",148,223,225,233,0,217,220,222,227,235,213,217,220,222,227,162,167,168,171,173,177
"asv23",86,114,114,114,115,111,114,114,114,115,104,111,110,114,114,101,104,111,110,110,114
"asv24",75,0,0,0,0,80,80,0,0,0,78,80,80,81,0,76,78,80,80,81,81
"asv25",71,71,71,71,0,70,71,71,71,71,70,70,71,71,71,86,81,81,81,75,75
"asv26",170,0,0,0,0,197,0,0,0,0,189,195,193,0,0,160,162,167,169,169,0
"asv27",125,0,0,0,0,146,0,0,0,0,146,146,148,0,0,97,98,97,100,103,0
"asv28",53,61,62,62,0,0,61,62,62,42,59,58,61,62,62,55,59,58,61,62,62
"asv29",53,0,0,0,0,106,79,0,0,0,102,105,107,107,0,98,100,103,105,105,106
"asv30",51,0,0,0,0,55,55,0,0,0,55,55,55,57,0,53,55,55,55,57,58
"asv31",70,57,58,58,58,64,57,57,57,57,73,63,56,56,56,72,73,63,56,56,56
"asv32",45,0,0,0,0,51,0,0,0,0,47,50,53,0,0,52,55,52,54,54,0
"asv33",64,97,97,97,98,87,97,97,97,98,86,87,97,97,97,85,86,87,97,97,97
"asv34",110,0,0,0,0,133,136,0,0,0,131,133,135,139,0,131,131,133,135,134,135
"asv35",41,47,48,49,51,46,47,48,49,51,45,46,47,48,49,44,44,45,46,47,48
"asv36",75,0,0,0,0,86,87,0,0,0,80,81,82,82,0,80,80,81,82,82,83
"asv37",40,0,0,0,0,46,0,0,0,0,42,46,46,0,0,39,39,43,43,43,0
"asv38",38,42,43,43,43,40,41,42,42,42,40,40,41,42,42,39,39,39,40,41,41
"asv39",54,0,0,0,0,55,0,0,0,0,54,55,55,0,0,0,0,0,0,0,0
"asv40",76,134,135,138,138,132,132,133,136,136,131,132,132,133,136,128,129,130,130,131,134
"asv41",58,39,0,0,0,101,108,40,0,0,97,101,108,94,41,59,97,101,108,109,111
"asv42",56,0,0,0,0,60,0,0,0,0,58,59,60,0,0,57,57,58,59,59,0
"asv43",40,100,58,87,51,62,42,84,96,108,44,79,70,97,87,43,59,31,104,78,66
"asv44",49,0,0,0,0,52,52,0,0,0,50,52,52,53,0,49,50,52,52,53,54
"asv45",117,2198,131,132,132,98,136,2215,110,131,119,1858,115,2178,151,104,119,98,84,122,123
"asv46",29,32,32,32,32,32,32,32,32,32,32,32,32,32,32,30,32,32,32,32,32
"asv47",29,0,0,0,0,31,31,0,0,0,30,31,31,31,0,30,30,31,31,31,32
"asv48",28,30,30,31,31,30,30,30,31,31,29,30,30,30,31,29,29,30,30,30,31
"asv49",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,27,0
"asv50",28,28,29,29,29,28,28,29,29,29,28,28,28,29,29,28,28,28,28,29,29
"asv51",27,28,28,28,28,28,28,28,28,28,27,28,28,28,28,27,27,28,28,28,28
"asv52",26,81,81,81,82,80,81,81,81,81,65,80,81,81,81,56,56,64,65,65,65
"asv53",34,128,128,129,130,108,126,126,127,128,109,108,126,126,127,89,92,94,124,124,125
"asv54",25,0,0,0,0,26,0,0,0,0,26,26,26,0,0,26,26,26,26,26,0
"asv55",22,0,0,0,0,22,0,0,0,0,22,22,22,0,0,22,22,22,22,23,0
"asv56",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"asv57",20,22,22,0,0,21,21,21,21,0,21,22,21,21,21,21,21,21,21,21,21
"asv58",20,0,0,0,0,23,0,0,0,0,20,21,21,0,0,20,20,21,21,21,0
"asv59",19,0,0,0,0,21,0,0,0,0,21,21,21,0,0,21,21,21,21,22,0
"asv60",31,0,0,0,0,34,0,0,0,0,32,34,33,0,0,32,33,34,34,34,0
"asv61",18,0,0,0,0,53,0,0,0,0,53,53,47,0,0,51,24,24,45,19,0
"asv62",18,23,25,25,25,23,23,25,25,25,22,22,22,24,24,22,22,22,22,24,24
"asv63",18,0,0,0,0,19,19,0,0,0,19,19,19,20,0,18,19,19,19,20,20
"asv64",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16
"asv65",17,51,51,51,51,51,51,51,51,51,51,51,51,51,51,49,50,50,50,50,50
"asv66",16,0,0,0,0,17,0,0,0,0,17,17,17,0,0,17,17,17,17,17,0
"asv67",15,0,0,0,0,17,17,0,0,0,16,16,16,16,0,15,16,16,16,16,16
"asv68",15,0,0,0,0,16,0,0,0,0,15,16,16,0,0,15,15,16,16,16,0
"asv69",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"asv70",13,0,0,0,0,13,0,0,0,0,13,13,13,0,0,13,13,13,13,13,0
"asv71",12,0,0,0,0,17,0,0,0,0,15,17,18,0,0,15,15,17,18,18,0
"asv72",12,0,0,0,0,12,0,0,0,0,12,12,12,0,0,12,12,12,12,12,0
"asv73",15,16,16,16,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"asv74",22,365,470,99,83,22,80,246,64,33,11,8,30,48,65,25,23,47,55,57,121
"asv75",11,12,12,12,12,17,12,12,12,12,18,17,12,12,12,18,18,17,12,12,12
"asv76",11,0,0,0,0,11,11,0,0,0,11,11,11,11,0,11,11,11,11,11,11
"asv77",10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,12,10,10,10,10
"asv78",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"asv79",8,0,0,0,0,8,0,0,0,0,8,8,9,0,0,8,8,8,9,9,0
"asv80",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
"asv81",4,5,5,5,0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4
"asv82",3,0,0,0,7,0,0,0,0,0,0,0,0,7,7,0,0,0,3,0,0
"asv83",3,0,0,0,0,28,0,0,0,0,27,27,27,0,0,27,27,27,27,27,0
"asv84",3,0,0,0,0,11,3,0,0,0,15,5,16,3,0,6,6,5,5,5,0
"asv85",3,6,6,10,4,7,13,22,10,10,3,3,3,7,4,3,3,3,3,3,3
"asv86",2,0,3,3,0,5,5,0,3,0,0,0,0,0,5,0,0,0,0,0,0
"asv87",0,95,97,98,9,92,95,97,98,102,87,92,95,97,98,80,86,91,94,96,97
"asv88",0,272,276,219,0,181,257,260,263,204,100,181,257,260,263,100,100,181,256,259,262
"asv89",0,80,81,83,83,81,80,81,83,83,0,81,80,81,83,0,0,80,79,80,82
"asv90",0,62,63,64,64,64,62,63,64,64,29,64,62,62,63,29,29,64,62,62,63
"asv91",0,32,33,33,33,28,31,32,32,32,27,28,31,32,32,25,27,28,31,32,32
"asv92",0,31,31,31,0,31,31,31,31,32,0,31,31,31,31,0,0,31,31,31,31
"asv93",0,33,33,29,0,30,33,33,29,29,29,30,33,33,29,29,29,30,33,33,29
"asv94",0,29,29,29,29,29,29,29,29,29,27,27,27,27,27,27,27,27,27,27,27
"asv95",0,29,0,0,0,0,29,0,30,0,0,27,0,0,0,33,2,0,0,29,0
"asv96",0,28,30,30,0,0,28,30,30,30,0,0,28,30,30,0,0,0,28,30,30
"asv97",0,26,26,26,26,0,26,26,26,26,0,0,26,26,26,24,25,26,26,26,26
"asv98",0,25,25,25,0,0,25,25,25,25,0,0,25,25,25,0,0,0,25,25,25
"asv99",0,22,22,23,0,22,22,22,23,23,20,22,22,22,23,19,20,22,22,22,23
"asv100",0,39,40,40,44,39,39,40,43,44,38,39,39,40,43,36,38,39,39,40,40
"asv101",0,19,19,19,0,19,19,19,19,19,0,18,18,18,18,0,0,18,18,18,18
"asv102",0,19,20,22,0,19,19,20,22,23,0,19,19,20,21,0,0,19,19,20,21
"asv103",0,23,24,24,24,5,23,24,24,24,0,0,18,19,19,0,0,0,18,19,19
"asv104",0,18,18,18,0,18,18,18,18,18,19,18,18,18,18,15,16,15,15,15,15
"asv105",0,18,18,18,18,18,18,18,17,18,16,18,18,17,17,16,16,18,18,18,17
"asv106",0,17,19,19,0,17,17,19,19,19,17,17,17,19,19,16,17,17,17,18,18
"asv107",0,16,15,18,19,0,16,15,17,18,0,0,16,15,17,0,0,0,16,15,17
"asv108",0,43,23,38,0,32,29,37,43,32,12,12,9,10,24,0,0,0,0,0,8
"asv109",0,15,0,0,0,16,15,15,0,0,16,16,15,15,15,15,15,15,14,14,14
"asv110",0,15,15,16,16,15,15,15,16,16,15,15,15,15,16,15,15,15,15,15,16
"asv111",0,32,30,31,0,31,32,30,31,32,24,31,32,30,31,24,24,31,32,30,31
"asv112",0,19,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"asv113",0,13,13,13,0,12,13,13,13,13,12,12,13,13,13,11,12,12,13,13,13
"asv114",0,25,9,13,22,3,67,23,0,3,3,0,0,16,28,9,3,22,22,12,9
"asv115",0,17,17,17,0,17,17,17,17,17,0,17,17,17,17,0,0,0,16,16,16
"asv116",0,13,13,0,13,0,12,12,12,12,0,0,0,12,12,0,0,0,0,0,2
"asv117",0,12,12,0,12,4,12,0,0,12,0,0,0,0,12,0,0,0,10,10,10
"asv118",0,12,12,12,12,11,12,12,12,12,10,10,11,11,11,10,10,10,11,11,11
"asv119",0,11,11,11,11,11,11,11,11,11,0,11,11,11,11,0,0,11,11,11,11
"asv120",0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11
"asv121",0,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"asv122",0,20,20,20,20,20,20,20,20,20,10,20,20,20,20,10,10,20,20,20,20
"asv123",0,10,10,10,10,9,10,10,10,10,9,9,10,10,10,9,9,9,10,10,10
"asv124",0,14,4,4,0,0,6,6,6,6,0,0,0,9,10,0,0,0,0,0,13
"asv125",0,10,10,10,10,0,10,10,10,10,0,0,10,10,10,0,0,0,10,10,10
"asv126",0,8,8,8,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"asv127",0,7,0,0,0,0,7,7,0,0,0,0,7,7,7,0,0,0,7,7,7
"asv128",0,7,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
"asv129",0,6,0,0,0,6,6,6,0,0,6,6,6,6,6,5,5,5,5,5,5
"asv130",0,6,0,0,0,7,6,6,0,0,7,7,6,6,6,0,7,7,6,6,6
"asv131",0,5,0,0,0,0,5,5,0,0,5,5,5,5,5,0,5,5,5,0,5
"asv132",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
