"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","92988","68207","64211","65143","35166","33570","50","306","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_0-0"
"track2","92988","62913","58418","59468","36967","34859","28","393","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-235"
"track3","92988","63654","59125","60447","38845","36583","29","419","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-230"
"track4","92988","64323","59754","60999","39133","36849","31","411","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-225"
"track5","92988","64959","60365","61990","39100","36850","18","414","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_235-220"
"track6","92988","61509","57108","57952","32433","30909","67","311","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-240"
"track7","92988","62449","58069","59049","38366","36117","32","408","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-235"
"track8","92988","63175","58758","59867","38685","36401","30","418","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-230"
"track9","92988","63829","59367","60599","38865","36550","30","406","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-225"
"track10","92988","64452","59969","61523","39214","36944","30","399","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_240-220"
"track11","92988","58059","53754","54285","24282","23388","59","232","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-245"
"track12","92988","58996","54669","55288","30476","28986","67","316","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-240"
"track13","92988","59887","55516","56524","39899","37466","71","405","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-235"
"track14","92988","60582","56177","57465","38294","35896","33","439","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-230"
"track15","92988","61215","56765","58098","36832","34521","32","408","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_245-225"
"track16","92988","48492","47196","44996","22031","21175","52","204","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-250"
"track17","92988","49859","48527","46476","22733","21802","53","220","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-245"
"track18","92988","50717","49373","47580","28177","26685","59","292","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-240"
"track19","92988","51506","50102","48596","36353","33977","63","382","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-235"
"track20","92988","52133","50673","49447","37990","35610","64","403","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-230"
"track21","92988","52701","51217","49923","34831","32629","34","398","Truncq_2","rmphix_FALSE","MaxEE_2-2","TruncLen_250-225"
