"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv1",NA,NA,NA,NA,NA,NA
"asv2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"asv3","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"asv4","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"asv5","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"asv6","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella"
"asv7","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"asv8","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"asv9","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Distigma"
"asv10","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"asv11","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"asv12","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia"
"asv13","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"asv14","Eukaryota","Euglenozoa",NA,NA,NA,NA
"asv15","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopococcus"
"asv16","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"asv17","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"asv18","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"asv19","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium"
"asv20","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter"
"asv21","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"asv22","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus"
"asv23","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"asv24","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella"
"asv25","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia"
"asv26","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"asv27","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"asv28","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"asv29","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"asv30","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"asv31","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium"
"asv32","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"asv33","Bacteria","Bacteroidetes",NA,NA,NA,NA
"asv34","Bacteria","Proteobacteria",NA,NA,NA,NA
"asv35","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales",NA,NA
"asv36","Eukaryota","Retaria",NA,NA,NA,NA
"asv37","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"asv38","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"asv39","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Halodurantibacterium"
"asv40","Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa",NA
"asv41","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"asv42","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria"
"asv43","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"asv44","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1"
"asv45","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1"
"asv46","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes"
"asv47","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"asv48","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"asv49","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"asv50","Eukaryota","Euglenozoa","Euglenida",NA,NA,NA
"asv51","Eukaryota","Retaria","Foraminifera","Globothalamea","Rotaliida","Ammonia"
"asv52","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"asv53","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus"
"asv54","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus"
"asv55","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"asv56","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"asv57","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tepidimonas"
"asv58","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"asv59","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"asv60","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"asv61","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"asv62","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"asv63","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7"
"asv64","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Hydrogenophilaceae","Hydrogenophilus"
"asv65","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus"
"asv66","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA
"asv67","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planomicrobium"
"asv68","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"asv69","Eukaryota","Heterolobosea","Tetramitia","Tetramitia_or","Tetramitia_fa","Sawyeria"
"asv70","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"asv71","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"asv72","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus"
"asv73","Bacteria","Firmicutes",NA,NA,NA,NA
