"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","48655","48480","30782","20214","12413","7762","65","468","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","48655","48509","30804","20232","12429","7770","66","467","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","48655","48509","30804","20232","12429","7770","66","467","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","48655","29666","17979","11846","7082","5248","22","229","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","48655","20030","12356","11572","3137","2534","14","94","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","48655","11848","8334","7735","5442","4032","36","344","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","48655","11851","8336","7736","5442","4033","34","346","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","48655","11851","8336","7736","5442","4033","34","346","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","48655","16660","11053","8033","4905","3684","19","220","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","48655","20030","12356","11572","3137","2534","14","94","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","48655","18732","13804","12116","8326","5693","51","420","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","48655","18746","13820","12128","8331","5702","52","420","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","48655","18746","13820","12128","8331","5702","51","421","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","48655","21365","14171","9863","5992","4443","19","225","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","48655","20030","12356","11572","3137","2534","14","94","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","48655","27773","20832","16656","11196","7342","57","443","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","48655","27793","20848","16670","11211","7326","58","440","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","48655","27793","20848","16670","11211","7326","56","442","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","48655","25070","16434","11166","6736","4986","20","226","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","48655","20030","12356","11572","3137","2534","14","94","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","48655","33551","25156","18637","12258","7823","46","447","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","48655","33573","25174","18652","12267","7805","48","443","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","48655","33573","25174","18652","12267","7805","46","445","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","48655","26915","17337","11583","7039","5195","21","230","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","48655","20030","12356","11572","3137","2534","14","94","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
