"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",5000,5008,5008,1431,1238,955,955,955,1030,1238,1405,1406,1406,1138,1238,2060,2062,2062,1527,1238,1917,1918,1918,1491,1238
"asv2",22296,22011,22417,14461,7495,10146,10174,10089,10499,7443,15265,15191,15249,12518,7384,20181,20159,19805,13948,7417,21931,22030,22060,14769,7158
"asv3",125,126,126,111,88,0,0,0,70,88,19,19,19,94,88,72,72,72,114,88,119,120,120,119,88
"asv4",321,294,294,305,375,91,92,92,227,375,296,334,334,252,375,331,331,331,292,375,377,377,377,304,375
"asv5",530,530,530,285,218,77,77,77,154,218,127,127,127,297,218,372,372,372,281,218,368,368,368,296,218
"asv6",112,112,112,110,81,42,42,50,71,81,59,59,59,94,81,99,99,112,110,81,109,109,109,114,81
"asv7",495,495,495,612,0,205,205,205,457,0,375,375,375,494,0,450,450,450,537,0,427,427,427,522,0
"asv8",106,106,106,80,0,30,30,30,59,0,65,66,66,71,0,98,99,99,75,0,111,106,106,79,0
"asv9",299,299,299,208,100,126,126,126,154,100,156,156,156,188,100,201,201,201,218,100,240,240,240,209,100
"asv10",100,100,100,0,0,0,0,0,0,0,47,47,47,0,0,79,79,79,0,0,104,104,104,0,0
"asv11",557,559,306,467,60,84,73,60,204,60,168,230,197,363,23,289,460,548,1008,127,588,501,449,92,233
"asv12",190,190,190,254,0,98,108,108,200,0,145,151,145,225,0,196,186,196,239,0,196,196,196,251,0
"asv13",75,75,75,58,0,11,11,11,40,0,29,29,29,49,0,55,55,55,54,0,66,66,66,57,0
"asv14",69,69,69,0,0,21,21,21,0,0,34,34,34,0,0,67,67,67,0,0,79,79,79,0,0
"asv15",216,216,216,180,98,15,15,15,106,98,64,64,64,156,98,121,121,121,167,98,175,175,175,174,98
"asv16",64,23,88,0,0,6,21,21,7,67,54,0,0,81,0,0,87,69,81,67,86,105,26,86,0
"asv17",159,485,289,61,0,30,13,39,31,17,89,91,49,115,174,197,102,215,42,11,230,225,241,43,129
"asv18",621,621,621,392,863,282,283,283,503,863,481,481,481,357,863,616,616,616,422,863,618,618,618,443,863
"asv19",54,54,54,64,0,0,0,0,43,0,16,16,16,56,0,48,48,48,62,0,70,70,70,63,0
"asv20",232,235,235,392,0,168,168,168,408,0,144,144,144,433,0,235,235,235,378,0,227,213,213,393,0
"asv21",50,50,50,35,0,19,19,19,29,0,40,40,40,24,0,59,59,59,33,0,59,59,59,34,0
