"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",27900,27933,27933,28316,28167,19089,19109,19109,25609,28167,23795,23821,23821,26806,28167,26160,26173,26173,27693,28167,27014,27027,27027,28121,28167
"asv2",578,578,591,540,631,433,434,434,566,631,517,518,518,595,631,606,607,639,726,631,615,581,615,529,631
"asv3",221,221,221,377,500,131,131,131,340,500,189,189,189,360,500,222,222,222,369,500,235,235,235,375,500
"asv4",448,448,448,452,773,377,378,378,394,773,323,323,323,413,773,355,355,355,430,773,406,406,406,444,773
"asv5",142,142,142,156,134,52,52,52,133,134,98,98,98,144,134,123,123,123,149,134,136,136,136,156,134
"asv6",134,134,134,146,122,67,67,67,125,122,106,106,106,137,122,125,125,125,142,122,126,126,126,142,122
"asv7",715,718,718,491,407,416,433,399,410,407,605,601,599,565,407,705,684,684,667,407,716,740,744,673,407
"asv8",240,240,240,300,298,57,57,57,269,298,74,74,74,296,298,180,180,180,286,298,280,280,280,296,298
"asv9",165,165,165,155,318,85,85,85,168,318,108,108,108,147,318,161,161,161,153,318,131,131,131,153,318
"asv10",483,484,484,1659,1439,96,96,96,1387,1439,245,246,246,1419,1439,336,337,337,2053,1439,425,426,426,2092,1439
"asv11",728,728,728,709,716,503,503,503,670,716,576,576,576,705,716,655,655,655,729,716,722,722,722,742,716
"asv12",110,110,110,248,220,91,91,91,216,220,69,69,69,227,220,104,104,104,238,220,112,112,112,246,220
"asv13",141,141,141,430,402,103,103,103,373,402,107,107,107,403,402,113,113,113,418,402,124,124,124,424,402
"asv14",261,261,261,218,274,135,135,135,196,274,205,205,205,202,274,249,249,249,210,274,242,242,242,214,274
"asv15",92,92,92,0,84,27,27,27,0,84,58,58,58,0,84,76,76,76,0,84,84,84,84,0,84
"asv16",90,90,90,90,113,72,72,72,84,113,76,76,76,87,113,83,83,83,89,113,88,88,88,90,113
"asv17",88,88,88,0,0,54,54,54,81,0,70,70,70,0,0,83,83,83,0,0,87,87,87,0,0
"asv18",80,136,136,126,108,71,100,71,101,108,132,89,89,112,108,125,125,72,121,108,74,74,129,124,108
"asv19",246,247,247,803,569,65,65,65,484,569,127,128,128,458,569,173,174,174,471,569,246,247,247,476,569
"asv20",128,128,128,380,431,77,77,77,290,431,145,145,145,308,431,121,121,121,323,431,140,140,140,330,431
"asv21",339,339,339,495,633,227,227,227,419,633,230,230,230,521,633,240,240,240,495,633,297,297,297,507,633
"asv22",74,74,74,75,0,42,42,42,64,0,54,54,54,71,0,69,69,69,73,0,71,71,71,74,0
"asv23",65,65,65,65,59,24,24,24,54,59,41,41,41,58,59,56,56,56,62,59,59,59,59,63,59
"asv24",142,142,142,212,254,88,88,88,160,254,88,88,88,193,254,88,88,88,205,254,94,94,94,209,254
"asv25",86,86,86,88,175,43,43,43,76,175,64,64,64,81,175,79,79,79,84,175,82,82,82,84,175
"asv26",157,158,158,103,1377,79,80,80,90,1377,110,111,111,92,1377,125,126,126,98,1377,110,111,111,100,1377
"asv27",60,60,60,60,55,0,0,0,50,55,18,18,18,54,55,36,36,36,56,55,49,49,49,58,55
"asv28",89,32,32,0,0,29,0,29,0,0,25,68,68,0,0,29,29,82,0,0,85,85,30,0,0
"asv29",206,206,206,370,463,98,98,98,324,463,66,66,66,328,463,118,118,118,347,463,105,105,105,361,463
"asv30",164,164,164,458,440,151,151,151,376,440,175,175,175,355,440,226,226,226,438,440,197,197,197,448,440
"asv31",233,233,233,337,360,113,113,113,310,360,126,126,126,318,360,196,196,196,332,360,213,213,213,338,360
"asv32",46,46,46,0,0,15,15,15,0,0,25,25,25,0,0,36,36,36,0,0,40,40,40,0,0
"asv33",74,74,74,46,0,26,26,26,41,0,59,59,59,44,0,69,69,69,45,0,71,71,71,45,0
"asv34",76,76,76,76,55,43,43,43,66,55,55,55,55,70,55,68,68,68,73,55,70,70,70,74,55
"asv35",41,41,41,0,37,17,17,17,0,37,28,28,28,0,37,39,39,39,0,37,40,40,40,0,37
"asv36",40,40,40,41,0,26,26,26,34,0,32,32,32,37,0,37,37,37,38,0,38,38,38,40,0
"asv37",38,38,38,40,37,22,22,22,36,37,30,30,30,38,37,35,35,35,38,37,37,37,37,38,37
"asv38",38,38,38,0,0,0,0,0,0,0,26,26,26,0,0,35,35,35,0,0,37,37,37,0,0
"asv39",236,236,236,310,705,122,122,122,284,705,223,223,223,294,705,211,228,228,297,705,197,197,197,311,705
"asv40",35,35,35,0,0,18,18,18,0,0,27,27,27,0,0,32,32,0,0,0,0,34,0,0,0
"asv41",31,31,31,0,0,0,0,0,0,0,20,20,20,0,0,27,27,27,0,0,27,27,27,0,0
"asv42",29,29,29,0,0,15,15,15,0,0,20,20,20,0,0,26,26,26,0,0,27,27,27,0,0
"asv43",24,24,24,0,0,0,0,0,0,0,14,14,14,0,0,18,18,18,0,0,20,20,20,0,0
"asv44",21,21,21,508,548,0,0,0,352,548,0,0,0,363,548,0,0,0,373,548,0,0,0,500,548
"asv45",39,39,39,17,0,25,25,25,16,0,35,35,35,16,0,37,37,37,17,0,38,38,38,17,0
"asv46",16,16,16,0,0,9,9,9,0,0,12,12,12,0,0,15,15,15,0,0,15,15,15,0,0
"asv47",15,15,15,36,0,7,7,7,30,0,9,9,9,31,0,11,11,11,34,0,13,13,13,35,0
"asv48",15,15,15,0,0,10,10,10,0,0,13,13,13,0,0,14,14,14,0,0,14,14,14,0,0
"asv49",15,15,15,15,0,0,0,0,0,0,10,10,10,14,0,13,13,13,14,0,14,14,14,15,0
"asv50",13,13,13,13,0,10,10,10,11,0,11,11,11,12,0,12,12,12,12,0,12,12,12,13,0
"asv51",13,13,0,14,0,9,9,9,13,0,10,10,10,13,0,12,12,12,14,0,13,13,13,14,0
"asv52",13,13,13,0,0,0,0,0,0,0,11,11,11,0,0,12,12,12,0,0,12,12,12,0,0
"asv53",12,12,12,12,11,26,26,26,10,11,35,35,35,12,11,12,12,12,12,11,12,12,12,12,11
"asv54",12,12,12,12,0,7,7,7,9,0,7,7,7,10,0,9,9,9,12,0,10,10,10,12,0
"asv55",11,11,11,11,10,6,6,6,11,10,10,10,10,11,10,11,11,11,11,10,11,11,11,11,10
"asv56",18,18,18,363,654,0,0,0,292,654,24,24,24,307,654,27,27,27,361,654,28,28,28,359,654
"asv57",7,7,7,7,15,4,4,4,6,15,6,6,6,7,15,7,7,7,7,15,7,7,7,7,15
"asv58",5,5,5,0,0,5,5,5,0,0,5,5,5,0,0,5,5,5,0,0,5,5,5,0,0
"asv59",7,4,4,0,0,0,0,0,0,0,0,2,4,0,0,6,6,6,0,0,3,0,7,0,0
