"","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track1","91067","90658","68642","68197","52854","14164","356","92","Truncq_1","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track2","91067","90658","68642","68197","52854","14164","357","91","Truncq_2","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track3","91067","90658","68642","68197","52854","14164","356","92","Truncq_4","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track4","91067","89201","58007","53379","40016","14013","162","53","Truncq_8","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track5","91067","78320","67805","65909","43158","19889","55","19","Truncq_16","rmphix_TRUE","MaxEE_Inf-Inf","TruncLen_0-0"
"track6","91067","21646","18657","18968","16935","4621","186","63","Truncq_1","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track7","91067","21646","18657","18968","16935","4621","186","63","Truncq_2","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track8","91067","21646","18657","18968","16935","4621","187","62","Truncq_4","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track9","91067","66980","52539","47280","40953","12503","119","49","Truncq_8","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track10","91067","78320","67805","65909","43158","19889","55","19","Truncq_16","rmphix_TRUE","MaxEE_1-1","TruncLen_0-0"
"track11","91067","38704","33917","34050","29808","7793","219","76","Truncq_1","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track12","91067","38704","33917","34050","29808","7793","218","77","Truncq_2","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track13","91067","38704","33917","34050","29808","7793","219","76","Truncq_4","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track14","91067","75367","54817","49400","40387","13318","148","53","Truncq_8","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track15","91067","78320","67805","65909","43158","19889","55","19","Truncq_16","rmphix_TRUE","MaxEE_2-2","TruncLen_0-0"
"track16","91067","58798","51281","50550","42363","12200","262","86","Truncq_1","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track17","91067","58798","51281","50550","42363","12200","263","85","Truncq_2","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track18","91067","58798","51281","50550","42363","12200","262","86","Truncq_4","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track19","91067","81060","57587","51055","40958","13270","158","53","Truncq_8","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track20","91067","78320","67805","65909","43158","19889","55","19","Truncq_16","rmphix_TRUE","MaxEE_4-4","TruncLen_0-0"
"track21","91067","69807","59879","58710","47760","13879","281","90","Truncq_1","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track22","91067","69807","59879","58710","47760","13879","280","91","Truncq_2","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track23","91067","69807","59879","58710","47760","13879","280","91","Truncq_4","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track24","91067","84250","58015","51976","40624","14974","176","53","Truncq_8","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
"track25","91067","78320","67805","65909","43158","19889","55","19","Truncq_16","rmphix_TRUE","MaxEE_6-6","TruncLen_0-0"
