"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7"
"asv1",470,45,144,389,545,67,177
"asv2",1706,24,2869,3710,4165,2451,3680
"asv3",190,0,219,259,275,210,254
"asv4",226,0,194,187,220,218,185
"asv5",218,0,1335,1343,1369,265,1484
"asv6",1877,0,2315,2150,2714,181,2340
"asv7",381,0,428,405,441,15,380
"asv8",305,0,487,470,635,0,398
"asv9",95,0,103,121,133,102,108
"asv10",137,0,125,118,130,124,133
"asv11",91,0,95,65,70,93,104
"asv12",90,0,69,66,73,0,58
"asv13",226,0,290,321,288,249,263
"asv14",89,0,103,115,121,0,110
"asv15",432,0,553,587,566,0,516
"asv16",169,0,94,159,149,91,144
"asv17",84,0,167,123,136,103,122
"asv18",83,0,180,121,106,125,120
"asv19",109,0,136,166,134,122,165
"asv20",229,0,231,182,204,216,178
"asv21",80,0,85,93,98,85,92
"asv22",124,60,145,257,320,173,191
"asv23",78,0,60,53,62,0,53
"asv24",311,0,301,310,377,0,306
"asv25",194,0,196,285,273,291,273
"asv26",113,0,66,125,172,0,126
"asv27",856,0,800,916,865,116,837
"asv28",71,0,120,117,159,120,118
"asv29",224,0,178,93,101,187,68
"asv30",176,0,291,332,345,220,357
"asv31",894,0,1021,977,1213,1095,1095
"asv32",67,0,73,59,109,70,59
"asv33",245,0,522,522,531,258,493
"asv34",181,0,214,168,156,226,180
"asv35",62,0,62,115,112,66,113
"asv36",61,0,57,119,124,58,85
"asv37",189,0,269,282,348,207,260
"asv38",61,0,63,66,70,63,64
"asv39",465,0,520,452,517,463,437
"asv40",195,23,421,470,493,159,468
"asv41",57,0,110,151,191,64,151
"asv42",56,0,95,129,207,94,99
"asv43",97,0,70,151,151,68,144
"asv44",356,0,349,447,536,0,411
"asv45",167,0,185,127,184,188,177
"asv46",142,0,120,181,88,82,82
"asv47",50,0,84,62,68,60,0
"asv48",48,0,63,77,85,59,75
"asv49",39,0,47,58,60,39,58
"asv50",221,0,157,171,169,3,196
"asv51",34,0,43,57,67,0,57
"asv52",34,0,40,60,60,36,54
"asv53",94,0,845,1059,1263,61,1057
"asv54",27,0,28,30,33,0,29
"asv55",23,0,29,31,34,29,30
"asv56",20,0,22,26,28,21,26
"asv57",17,0,18,26,26,18,24
"asv58",16,0,0,0,0,0,0
"asv59",15,0,17,17,17,17,17
"asv60",15,0,19,31,47,19,30
"asv61",14,0,15,18,19,15,18
"asv62",11,0,15,22,28,15,22
"asv63",10,0,59,52,58,10,67
"asv64",9,0,9,11,11,0,11
"asv65",8,0,11,12,12,11,12
"asv66",6,0,7,7,7,7,7
"asv67",6,0,12,17,25,12,17
"asv68",0,32,0,0,0,0,0
"asv69",0,0,1383,1324,1605,0,1469
"asv70",0,0,634,539,484,0,520
"asv71",0,0,84,80,90,0,79
"asv72",0,0,152,168,185,0,171
"asv73",0,0,81,74,89,0,72
"asv74",0,0,276,294,382,0,337
"asv75",0,0,247,182,227,0,251
"asv76",0,0,221,310,128,0,252
"asv77",0,0,73,55,58,0,72
"asv78",0,0,214,253,223,0,268
"asv79",0,0,71,81,71,0,87
"asv80",0,0,88,145,141,0,143
"asv81",0,0,535,660,494,0,511
"asv82",0,0,67,83,96,0,72
"asv83",0,0,123,124,145,0,120
"asv84",0,0,62,121,129,0,67
"asv85",0,0,188,195,207,0,189
"asv86",0,0,58,67,71,0,67
"asv87",0,0,54,67,55,41,67
"asv88",0,0,69,78,87,0,76
"asv89",0,0,42,50,51,0,49
"asv90",0,0,59,72,80,0,70
"asv91",0,0,32,80,87,0,34
"asv92",0,0,31,33,41,0,33
"asv93",0,0,29,34,36,0,34
"asv94",0,0,24,33,41,24,33
"asv95",0,0,22,26,29,0,26
"asv96",0,0,20,36,45,5,42
"asv97",0,0,20,25,31,19,23
"asv98",0,0,15,16,16,0,15
"asv99",0,0,14,18,20,0,18
"asv100",0,0,13,13,14,0,13
"asv101",0,0,10,11,11,0,11
"asv102",0,0,9,9,9,0,9
"asv103",0,0,8,11,15,7,12
"asv104",0,0,7,9,12,7,9
"asv105",0,0,6,7,0,0,0
"asv106",0,0,6,7,7,6,7
"asv107",0,0,2,0,0,0,0
"asv108",0,0,0,44,56,0,43
"asv109",0,0,0,29,0,0,28
"asv110",0,0,0,29,68,0,27
"asv111",0,0,0,18,19,0,18
"asv112",0,0,0,16,30,0,16
"asv113",0,0,0,14,62,0,14
"asv114",0,0,0,13,13,0,13
"asv115",0,0,0,12,14,0,12
"asv116",0,0,0,11,12,0,11
"asv117",0,0,0,11,14,0,11
"asv118",0,0,0,9,12,0,9
"asv119",0,0,0,7,11,0,7
"asv120",0,0,0,6,8,0,6
"asv121",0,0,0,6,7,0,6
"asv122",0,0,0,2,2,2,2
"asv123",0,0,0,0,61,0,0
"asv124",0,0,0,0,49,0,0
"asv125",0,0,0,0,11,0,0
"asv126",0,0,0,0,11,0,0
"asv127",0,0,0,0,9,0,0
"asv128",0,0,0,0,6,0,0
"asv129",0,0,0,0,0,2,2
