"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7"
"asv1",1120,0,1786,1681,1762,21,1787
"asv2",18436,3353,14727,18834,21425,8617,16536
"asv3",82,0,102,99,103,71,91
"asv4",236,0,230,242,293,0,259
"asv5",246,0,241,308,259,242,328
"asv6",40,24,28,59,51,31,36
"asv7",37,0,14,30,47,0,20
"asv8",74,0,93,221,205,90,240
"asv9",35,0,31,40,45,0,33
"asv10",109,0,100,112,102,98,125
"asv11",30,0,39,64,58,41,46
"asv12",152,70,150,167,83,85,126
"asv13",28,0,29,32,39,0,31
"asv14",26,0,21,35,33,23,29
"asv15",48,0,22,32,11,26,11
"asv16",26,0,30,38,40,29,36
"asv17",68,0,81,77,75,0,76
"asv18",50,0,52,56,50,40,53
"asv19",60,13,150,198,177,90,204
"asv20",31,0,42,45,51,42,38
"asv21",49,0,56,17,18,32,17
"asv22",56,0,81,27,80,0,90
"asv23",21,0,27,22,26,23,27
"asv24",56,0,46,47,47,60,47
"asv25",21,0,0,5,10,0,0
"asv26",31,0,52,60,56,35,59
"asv27",21,0,30,37,0,26,37
"asv28",21,0,23,26,26,22,22
"asv29",20,0,21,22,26,21,22
"asv30",80,0,59,76,82,59,68
"asv31",31,0,48,48,52,44,48
"asv32",36,0,40,34,40,36,34
"asv33",115,55,205,195,160,199,133
"asv34",153,37,403,412,340,158,430
"asv35",36,0,40,55,55,26,69
"asv36",37,0,45,47,45,51,48
"asv37",26,0,29,32,35,29,32
"asv38",144,0,157,167,192,159,170
"asv39",17,19,43,50,54,43,47
"asv40",218,0,238,268,326,256,290
"asv41",84,0,93,106,122,96,84
"asv42",40,0,67,58,69,51,57
"asv43",15,0,16,17,17,16,17
"asv44",42,0,41,59,74,0,68
"asv45",13,0,18,16,16,18,19
"asv46",12,5,0,12,16,4,17
"asv47",12,0,13,14,14,13,14
"asv48",12,0,13,13,13,12,13
"asv49",86,0,90,142,147,91,160
"asv50",11,0,12,16,16,12,15
"asv51",11,0,13,13,13,0,13
"asv52",54,0,73,26,49,46,32
"asv53",244,0,294,291,392,269,297
"asv54",11,0,13,14,0,0,14
"asv55",87,0,94,106,119,0,105
"asv56",9,0,9,10,11,9,10
"asv57",9,0,16,16,15,12,16
"asv58",9,0,10,10,10,10,10
"asv59",8,0,8,8,8,8,8
"asv60",3,0,26,29,29,4,22
"asv61",2,0,0,2,0,0,0
"asv62",0,0,62,173,119,0,166
"asv63",0,0,32,37,41,0,37
"asv64",0,0,87,93,101,0,82
"asv65",0,0,31,33,34,0,33
"asv66",0,0,97,107,116,0,104
"asv67",0,0,25,26,28,0,24
"asv68",0,0,28,31,36,0,27
"asv69",0,0,21,25,28,21,25
"asv70",0,0,20,27,28,20,27
"asv71",0,0,19,42,46,19,36
"asv72",0,0,46,80,118,0,61
"asv73",0,0,19,21,22,0,20
"asv74",0,0,23,30,31,0,35
"asv75",0,0,15,10,20,0,10
"asv76",0,0,15,15,16,0,15
"asv77",0,0,48,55,56,0,55
"asv78",0,0,9,11,11,0,10
"asv79",0,0,7,8,8,0,8
"asv80",0,0,4,4,4,4,4
"asv81",0,0,0,26,49,0,20
"asv82",0,0,0,25,44,0,25
"asv83",0,0,0,20,20,0,20
"asv84",0,0,0,18,24,0,18
"asv85",0,0,0,15,15,0,16
"asv86",0,0,0,12,18,0,12
"asv87",0,0,0,10,13,0,10
"asv88",0,0,0,10,13,0,10
"asv89",0,0,0,8,10,0,8
"asv90",0,0,0,7,7,0,7
"asv91",0,0,0,6,10,7,6
"asv92",0,0,0,0,34,0,0
"asv93",0,0,0,0,17,0,0
"asv94",0,0,0,0,7,0,0
"asv95",0,0,0,0,3,0,0
